Comparison_Group	Cytokine	Cytokine Predictor	MRI Outcome	Spearman ρ	p-value	p-value (Bonferroni)	n_tests_in_group	Bonferroni_alpha_group	Significance	Sig (α=0.05)	Sig (Bonferroni)	n
T1	GFAP	GFAP_T1	Fazekas Score	0.8040302522073696	0.005055610831801274	0.6370069648069605	126	0.0003968253968253968	*	✓		10
T1	GFAP	GFAP_T1	Pre-TAVI Infarcts	0.6922844019701596	0.02651707918078635	3.3411519767790803	126	0.0003968253968253968	*	✓		10
T1	NF-L	NF-L_T1	Pre-TAVI Infarcts	0.671721498941343	0.033403517604267324	4.208843218137683	126	0.0003968253968253968	*	✓		10
T1	IL-8	IL-8_T1	Fazekas Score	0.6499244538676238	0.041930341753376864	5.283223060925485	126	0.0003968253968253968	*	✓		10
T1	IL-12p70	IL-12p70_T1	Fazekas Score	-0.6240336444599678	0.053821661217107165	6.781529313355503	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Cerebellum	-0.6013601401454517	0.06591102206112893	8.304788779702246	126	0.0003968253968253968	ns			10
T1	IL-10	IL-10_T1	Pre-TAVI Infarcts	-0.5894698868260765	0.07290650888621467	9.186220119663048	126	0.0003968253968253968	ns			10
T1	Tau	Tau_T1	Cerebellum	0.5871983181190702	0.07429561413550047	9.361247381073058	126	0.0003968253968253968	ns			10
T1	IL-10	IL-10_T1	Fazekas Score	-0.5427204202399745	0.10501884601912936	13.2323745984103	126	0.0003968253968253968	ns			10
T1	IL-4	IL-4_T1	Right Hemisphere	0.5405624776173353	0.10668438413604835	13.44223240114209	126	0.0003968253968253968	ns			10
T1	IL-13	IL-13_T1	Right Hemisphere	0.5405624776173353	0.10668438413604835	13.44223240114209	126	0.0003968253968253968	ns			10
T1	GFAP	GFAP_T1	Microhaemorrhage	0.5222329678670935	0.12150291881711318	15.30936777095626	126	0.0003968253968253968	ns			10
T1	TNF-α	TNF-α_T1	Microhaemorrhage	-0.5222329678670935	0.12150291881711318	15.30936777095626	126	0.0003968253968253968	ns			10
T1	IL-6	IL-6_T1	Cerebellum	-0.5189194439191783	0.12431108171031302	15.663196295499441	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Right Hemisphere	0.5144125078733913	0.12819475571212877	16.152539219728226	126	0.0003968253968253968	ns			10
T1	IL-10	IL-10_T1	Right Hemisphere	0.47677256827289927	0.16354911551716916	20.607188555163315	126	0.0003968253968253968	ns			10
T1	IL-10	IL-10_T1	Cerebellum	-0.46429634455926483	0.17643080781175996	22.230281784281754	126	0.0003968253968253968	ns			10
T1	IFN-γ	IFN-γ_T1	Pre-TAVI Infarcts	0.44552956562436014	0.19690696831411109	24.810278007577995	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Pre-TAVI Infarcts	-0.44409121373303795	0.19853090751469088	25.01489434685105	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Cortical	0.42466564387869793	0.221223673569272	27.874182869728273	126	0.0003968253968253968	ns			10
T1	GFAP	GFAP_T1	Cerebellum	0.4233290200393297	0.2228371337334357	28.0774788504129	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Subcortical	0.42108908477425216	0.22555598817263778	28.42005450975236	126	0.0003968253968253968	ns			10
T1	IFN-γ	IFN-γ_T1	Fazekas Score	0.41541563030714096	0.23252641592978646	29.298328407153093	126	0.0003968253968253968	ns			10
T1	IL-4	IL-4_T1	Cortical	0.41247895569215265	0.23618163479731888	29.75888598446218	126	0.0003968253968253968	ns			10
T1	IL-13	IL-13_T1	Cortical	0.41247895569215265	0.23618163479731888	29.75888598446218	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Microhaemorrhage	-0.41119596982930745	0.23778863552946983	29.9613680767132	126	0.0003968253968253968	ns			10
T1	NF-L	NF-L_T1	Microhaemorrhage	0.4061811972299616	0.2441286818964912	30.76021391895789	126	0.0003968253968253968	ns			10
T1	IL-8	IL-8_T1	Pre-TAVI Infarcts	0.39754945855712137	0.2552603422699287	32.16280312601102	126	0.0003968253968253968	ns			10
T1	NF-L	NF-L_T1	Fazekas Score	0.3819143697985006	0.27612419970906354	34.79164916334201	126	0.0003968253968253968	ns			10
T1	NF-L	NF-L_T1	Cerebellum	0.37553380809940534	0.2848960438367607	35.89690152343185	126	0.0003968253968253968	ns			10
T1	S100B	S100B_T1	Fazekas Score	0.3618136134933163	0.30425852293767774	38.3365738901474	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Fazekas Score	-0.3618136134933163	0.30425852293767774	38.3365738901474	126	0.0003968253968253968	ns			10
T1	S100B	S100B_T1	Left Hemisphere	-0.3414697626586983	0.33420797438355215	42.11020477232757	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Left Hemisphere	-0.3271667270584458	0.35613310033927853	44.872770642749096	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Pre-TAVI Infarcts	-0.3221521474514605	0.3639865813518794	45.8623092503368	126	0.0003968253968253968	ns			10
T1	IL-6	IL-6_T1	Pre-TAVI Infarcts	-0.3221521474514605	0.3639865813518794	45.8623092503368	126	0.0003968253968253968	ns			10
T1	IL-13	IL-13_T1	Fazekas Score	-0.3207501495497921	0.3661975979075056	46.14089733634571	126	0.0003968253968253968	ns			10
T1	IL-4	IL-4_T1	Fazekas Score	-0.3207501495497921	0.3661975979075056	46.14089733634571	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Cortical	-0.31775855125300706	0.37093773581424266	46.73815471259458	126	0.0003968253968253968	ns			10
T1	S100B	S100B_T1	Pre-TAVI Infarcts	0.30844354543224933	0.3858897015550594	48.62210239593749	126	0.0003968253968253968	ns			10
T1	TNF-α	TNF-α_T1	Pre-TAVI Infarcts	-0.30844354543224933	0.3858897015550594	48.62210239593749	126	0.0003968253968253968	ns			10
T1	IL-12p70	IL-12p70_T1	Total New Infarcts	-0.3077054173147948	0.3870868699324016	48.772945611482605	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Total New Infarcts	0.3039527718400323	0.3932011151432977	49.54334050805551	126	0.0003968253968253968	ns			10
T1	IFN-γ	IFN-γ_T1	Cortical	0.3015741528993652	0.39710062168415194	50.03467833220314	126	0.0003968253968253968	ns			10
T1	IL-1β	IL-1β_T1	Cerebellum	0.30134159059344656	0.3974828787619361	50.08284272400395	126	0.0003968253968253968	ns			10
T1	IL-10	IL-10_T1	Microhaemorrhage	-0.2901294265928297	0.4161202535070595	52.431151941889496	126	0.0003968253968253968	ns			10
T1	IL-2	IL-2_T1	Microhaemorrhage	0.2901294265928297	0.4161202535070595	52.431151941889496	126	0.0003968253968253968	ns			10
